Section_UUID	Page	Display_Order	Section_Type	Section_Data	Hidden	Is_Required
SEC-11	/	110	insight-feed	{"eyebrow":"Knowledge Hub","heading":"Regulatory intelligence, structured.","standfirst":"Published from the editorial workspace your team already uses.","featured":{"kind":"Featured insight","meta":"[DATE] · [READ TIME]","title":"[FEATURED ARTICLE HEADLINE — editor-curated from the Knowledge Hub]","standfirst":"[Two-to-three line standfirst. Records carry content type, market, capability and industry tags so this module is curated without changing the source record.]","href":"/insights"},"listLabel":"Latest updates & blogs","listLinkLabel":"View all","listLinkHref":"/insights","items":[{"kind":"Regulatory update","meta":"[MARKET] · [DATE]","title":"[AUTHORITY UPDATE HEADLINE]","href":"/insights/regulatory-updates"},{"kind":"Country intelligence","meta":"[MARKET] · [DATE]","title":"[COUNTRY INTELLIGENCE HEADLINE]","href":"/insights/country-intelligence"},{"kind":"Blog","meta":"[CAPABILITY] · [DATE]","title":"[BLOG TITLE]","href":"/insights"},{"kind":"Whitepaper","meta":"[REGION] · [DATE]","title":"[WHITEPAPER TITLE]","href":"/insights/whitepapers"}]}	false	true
SEC-12	/	120	contact-split	{"eyebrow":"Speak to an expert","heading":"Tell us the product and the market. We'll map the pathway.","fields":[{"label":"Name","wide":false},{"label":"Work email","wide":false},{"label":"Company","wide":false},{"label":"Country","wide":false},{"label":"Contact number","wide":false},{"label":"Purpose / remarks — tell us why you are getting in touch","wide":true}],"submitLabel":"Submit enquiry","submitHref":"/contact/enquiry","routes":[{"title":"Request a proposal","body":"Defined scope, timeline and commercial terms.","href":"/contact/proposal","emphasis":"neutral"},{"title":"Partnership enquiry","body":"For CROs, consultancies and local agents.","href":"/contact/partnership","emphasis":"neutral"},{"title":"Submit your CV","body":"Looking to join us? Send your CV and see the roles we are hiring for.","href":"/careers","linkLabel":"View openings","emphasis":"neutral"},{"title":"Pharmacovigilance & safety","body":"Report an adverse event or product safety concern. Handled separately from commercial enquiries.","href":"/contact/safety","linkLabel":"Safety reporting","emphasis":"safety"}],"generalLabel":"General enquiries","generalEmail":"cs@genedrift.com"}	false	true
SEC-explore-1	/explore	10	page-head	{"eyebrow":"Explore","heading":"Start with the problem, not our service names.","headingTail":"Most people arrive knowing the outcome they need, not what the industry calls it.","actions":[{"label":"Speak to an Expert","href":"/contact/enquiry","variant":"solid"},{"label":"Our operating model","href":"/company/operating-model","variant":"quiet"}]}	false	true
SEC-explore-2	/explore	20	sub-capability-grid	{"eyebrow":"In this section","heading":"Everything under Explore.","standfirst":"Each area is owned by the team that delivers it.","navSource":"explore","items":[]}	false	true
SEC-explore-3	/explore	30	explore-journeys	{"eyebrow":"Explore","heading":"Start with the problem, not our service names.","standfirst":"Most people arrive knowing the outcome they need, not what the industry calls it.","linkLabel":"Explore","items":[{"title":"Enter a new market","body":"Pathway, classification and the filing route for a country you have never registered in.","href":"/explore/business-needs","resting":false},{"title":"Build or maintain PV compliance","body":"A local QPPV, case intake and the aggregate reports the authority expects.","href":"/expertise/pharmacovigilance","resting":false},{"title":"Establish local representation or MAH","body":"A licence holder where you have no legal entity, with obligations managed for you.","href":"/expertise/mah-local-representation","resting":false},{"title":"Not sure where to start","body":"Tell us the product and the destination. We will map the pathway and come back.","href":"/explore/questionnaire","resting":false}],"certificationsLabel":"Certified & compliant","showCertifications":true}	false	true
SEC-explore-4	/explore	40	industry-index	{"eyebrow":"Industries & product categories","heading":"Specialist support across regulated product categories.","standfirst":"Category knowledge stays connected to local market requirements, submission pathways and lifecycle obligations.","countLabel":"types","items":[{"title":"Pharmaceuticals","summary":"Prescription, OTC and complex portfolios","icon":"pharmaceuticals","href":"/industries/pharmaceuticals","productTypes":["Generics","NCEs / NDAs","Biologics","Biosimilars","Vaccines","Oncology","Sterile injectables","Controlled substances","Paediatric formulations","Fixed-dose combinations"]},{"title":"Medical Devices & IVDs","summary":"Classification, registration and lifecycle","icon":"devices","href":"/industries/medical-devices","productTypes":["Class I–III devices","In-vitro diagnostics","Software as a medical device","Implantables","Electro-medical","Sterile single-use","Combination products"]},{"title":"Food Supplements","summary":"Market pathway and compliance support","icon":"supplements","href":"/industries/food-supplements","productTypes":["Nutraceuticals","Vitamins & minerals","Botanicals","Sports nutrition","Infant nutrition","Medical foods"]},{"title":"Cosmetics","summary":"Notification, claims and local requirements","icon":"cosmetics","href":"/industries/cosmetics","productTypes":["Skin care","Hair care","Colour cosmetics","Sunscreens","Oral care","Fragrances"]},{"title":"Veterinary Products","summary":"Regulatory planning and market support","icon":"veterinary","href":"/industries/veterinary","productTypes":["Companion animal","Livestock","Vaccines","Feed additives","Antiparasitics"]}]}	false	true
SEC-explore-5	/explore	50	faq-accordion	{"eyebrow":"Common questions","heading":"What people ask before they engage.","items":[{"question":"Do we need a local entity to register a product?","answer":"Placeholder answer — the client's regulatory team must supply and approve this. In most markets a local presence of some form is required, but the specific mechanism varies by country and product type."},{"question":"Can you hold the marketing authorisation on our behalf?","answer":"Placeholder answer. MAH and local representation is one of the three core capabilities; availability differs per market and is shown on each country page."},{"question":"How is pharmacovigilance handled across multiple markets?","answer":"Placeholder answer covering local QPPV cover, case intake, aggregate reporting and inspection readiness."},{"question":"What happens after approval?","answer":"Placeholder answer covering variations, renewals, transfers and withdrawals — stages nine through twelve of the operating model."}]}	false	true
SEC-explore-6	/explore	60	contact-split	{"eyebrow":"Speak to an expert","heading":"Tell us the product and the market. We'll map the pathway.","fields":[{"label":"Name","wide":false},{"label":"Work email","wide":false},{"label":"Company","wide":false},{"label":"Country","wide":false},{"label":"Contact number","wide":false},{"label":"Purpose / remarks — tell us why you are getting in touch","wide":true}],"submitLabel":"Submit enquiry","submitHref":"/contact/enquiry","routes":[{"title":"Request a proposal","body":"Defined scope, timeline and commercial terms.","href":"/contact/proposal","emphasis":"neutral"},{"title":"Partnership enquiry","body":"For CROs, consultancies and local agents.","href":"/contact/partnership","emphasis":"neutral"},{"title":"Submit your CV","body":"Looking to join us? Send your CV and see the roles we are hiring for.","href":"/careers","linkLabel":"View openings","emphasis":"neutral"},{"title":"Pharmacovigilance & safety","body":"Report an adverse event or product safety concern. Handled separately from commercial enquiries.","href":"/contact/safety","linkLabel":"Safety reporting","emphasis":"safety"}],"generalLabel":"General enquiries","generalEmail":"cs@genedrift.com"}	false	true
SEC-expertise-1	/expertise	10	page-head	{"eyebrow":"Expertise","heading":"Regulatory Affairs, Pharmacovigilance and local representation,","headingTail":"delivered in-house by the people who stay accountable after approval.","actions":[{"label":"Speak to an Expert","href":"/contact/enquiry","variant":"solid"},{"label":"Our operating model","href":"/company/operating-model","variant":"quiet"}]}	false	true
SEC-expertise-2	/expertise	20	sub-capability-grid	{"eyebrow":"In this section","heading":"Everything under Expertise.","standfirst":"Each area is owned by the team that delivers it.","navSource":"expertise","items":[]}	false	true
SEC-expertise-3	/expertise	30	capability-panels	{"eyebrow":"Service overview","heading":"Three core capabilities.","intro":"Engage a single capability or hand over the whole lifecycle. One regional team, one commercial relationship, whichever you choose.","linkLabel":"All expertise","linkHref":"/expertise","items":[{"title":"Regulatory Affairs","body":"Strategy and intelligence, dossier preparation, eCTD publishing, submission management, approvals and lifecycle change.","tags":["Dossier","eCTD","Variations","Renewals"],"emphasis":"primary","wide":false},{"title":"Pharmacovigilance","body":"Local QPPV and deputy cover, ICSR intake, literature monitoring, aggregate reporting and inspection readiness.","tags":["QPPV","PSUR / PBRER","PSMF","Inspections"],"emphasis":"secondary","wide":false},{"title":"MAH & Local Representation","body":"Licence holding and local representation in markets where you have no legal entity — obligations, authority correspondence and lifecycle duties managed on your behalf, by people on record with the authority.","tags":["Licence holding","Authority communication","Lifecycle support"],"emphasis":"deep","wide":true}]}	false	true
SEC-expertise-4	/expertise	40	process-grid	{"eyebrow":"Operating model","heading":"Twelve stages, filing to withdrawal.","standfirst":"The same team carries a product from the first strategy call through every renewal that follows.","stages":[{"title":"Regulatory strategy","body":"Target markets, pathway and sequencing agreed before anything is written."},{"title":"Regulatory intelligence","body":"Current country requirements, mapped and kept current."},{"title":"Classification & gap analysis","body":"What you have, against what each authority expects."},{"title":"Dossier preparation","body":"Compiled to the receiving authority's format, not a generic template."},{"title":"eCTD publishing","body":"Validated output, lifecycle-ready sequences."},{"title":"Submission management","body":"Filed locally, tracked centrally, reported to you."},{"title":"Authority interaction","body":"Queries answered by the people who wrote the dossier."},{"title":"Approval","body":"The licence issued, with every commitment logged for what follows."},{"title":"Lifecycle management","body":"Variations, renewals, transfers, notifications, withdrawals."},{"title":"MAH / local representation","body":"Licence held locally where you have no entity."},{"title":"Pharmacovigilance","body":"Local QPPV, case processing, aggregate reports, inspections."},{"title":"Dedicated resource","body":"Named FTE and embedded teams as the portfolio grows."}]}	false	true
SEC-expertise-5	/expertise	50	pill-row	{"eyebrow":"Engagement models","heading":"Six ways to work with us.","standfirst":"Scope, governance and reporting are agreed up front, whichever shape the engagement takes.","items":[{"label":"Project-based support"},{"label":"Managed services"},{"label":"QPPV / dedicated FTE"},{"label":"Hybrid onsite deployment"},{"label":"Embedded regulatory teams"},{"label":"Strategic partnership"}]}	false	true
SEC-expertise-6	/expertise	60	faq-accordion	{"eyebrow":"Common questions","heading":"What people ask before they engage.","items":[{"question":"Do we need a local entity to register a product?","answer":"Placeholder answer — the client's regulatory team must supply and approve this. In most markets a local presence of some form is required, but the specific mechanism varies by country and product type."},{"question":"Can you hold the marketing authorisation on our behalf?","answer":"Placeholder answer. MAH and local representation is one of the three core capabilities; availability differs per market and is shown on each country page."},{"question":"How is pharmacovigilance handled across multiple markets?","answer":"Placeholder answer covering local QPPV cover, case intake, aggregate reporting and inspection readiness."},{"question":"What happens after approval?","answer":"Placeholder answer covering variations, renewals, transfers and withdrawals — stages nine through twelve of the operating model."}]}	false	true
SEC-expertise-7	/expertise	70	contact-split	{"eyebrow":"Speak to an expert","heading":"Tell us the product and the market. We'll map the pathway.","fields":[{"label":"Name","wide":false},{"label":"Work email","wide":false},{"label":"Company","wide":false},{"label":"Country","wide":false},{"label":"Contact number","wide":false},{"label":"Purpose / remarks — tell us why you are getting in touch","wide":true}],"submitLabel":"Submit enquiry","submitHref":"/contact/enquiry","routes":[{"title":"Request a proposal","body":"Defined scope, timeline and commercial terms.","href":"/contact/proposal","emphasis":"neutral"},{"title":"Partnership enquiry","body":"For CROs, consultancies and local agents.","href":"/contact/partnership","emphasis":"neutral"},{"title":"Submit your CV","body":"Looking to join us? Send your CV and see the roles we are hiring for.","href":"/careers","linkLabel":"View openings","emphasis":"neutral"},{"title":"Pharmacovigilance & safety","body":"Report an adverse event or product safety concern. Handled separately from commercial enquiries.","href":"/contact/safety","linkLabel":"Safety reporting","emphasis":"safety"}],"generalLabel":"General enquiries","generalEmail":"cs@genedrift.com"}	false	true
SEC-client-success-1	/client-success	10	page-head	{"eyebrow":"Client impact","heading":"Work our clients let us talk about.","headingTail":"Each engagement tagged to a capability and a market.","actions":[{"label":"Speak to an Expert","href":"/contact/enquiry","variant":"solid"},{"label":"Our operating model","href":"/company/operating-model","variant":"quiet"}]}	false	true
SEC-client-success-2	/client-success	20	sub-capability-grid	{"eyebrow":"In this section","heading":"Everything under Client impact.","standfirst":"Each area is owned by the team that delivers it.","navSource":"client-success","items":[]}	false	true
SEC-client-success-3	/client-success	30	metric-row	{"eyebrow":"By the numbers","heading":"What the last few years look like.","items":[{"value":"46","label":"Markets","note":"Across six regions"},{"value":"170+","label":"Products","note":"Lifecycle managed for one client"},{"value":"50+","label":"Intelligence reports","note":"Delivered to multinationals"},{"value":"10+","label":"Saudi roadmaps","note":"For Gulf market entry"}]}	false	true
SEC-client-success-4	/client-success	40	proof-billboard	{"eyebrow":"Client impact","heading":"Work our clients let us talk about.","standfirst":"Three engagements, each tagged to a capability and a market so the same record surfaces on those pages too.","cases":[{"label":"Pharmacovigilance · QPPV","title":"Leading consumer healthcare company","body":"Local QPPV, Deputy QPPV and end-to-end pharmacovigilance support across the local market, with inspection-ready documentation maintained throughout.","tags":["Pharmacovigilance","QPPV","Local market"]},{"label":"Dedicated FTE · Lifecycle","title":"Leading US regulatory consulting organisation","body":"Dedicated FTE supporting lifecycle management for 170+ products, with hybrid onsite deployment scaled to the client's filing calendar.","tags":["Dedicated FTE","Lifecycle management","Hybrid onsite"]},{"label":"Intelligence · Saudi Arabia","title":"Multinational regulatory intelligence programme","body":"50+ regulatory intelligence reports and 10+ Saudi regulatory roadmaps delivered for multinational organisations entering the Gulf.","tags":["Regulatory intelligence","Saudi Arabia","Roadmaps"]}]}	false	true
SEC-client-success-5	/client-success	50	faq-accordion	{"eyebrow":"Common questions","heading":"What people ask before they engage.","items":[{"question":"Do we need a local entity to register a product?","answer":"Placeholder answer — the client's regulatory team must supply and approve this. In most markets a local presence of some form is required, but the specific mechanism varies by country and product type."},{"question":"Can you hold the marketing authorisation on our behalf?","answer":"Placeholder answer. MAH and local representation is one of the three core capabilities; availability differs per market and is shown on each country page."},{"question":"How is pharmacovigilance handled across multiple markets?","answer":"Placeholder answer covering local QPPV cover, case intake, aggregate reporting and inspection readiness."},{"question":"What happens after approval?","answer":"Placeholder answer covering variations, renewals, transfers and withdrawals — stages nine through twelve of the operating model."}]}	false	true
SEC-client-success-6	/client-success	60	contact-split	{"eyebrow":"Speak to an expert","heading":"Tell us the product and the market. We'll map the pathway.","fields":[{"label":"Name","wide":false},{"label":"Work email","wide":false},{"label":"Company","wide":false},{"label":"Country","wide":false},{"label":"Contact number","wide":false},{"label":"Purpose / remarks — tell us why you are getting in touch","wide":true}],"submitLabel":"Submit enquiry","submitHref":"/contact/enquiry","routes":[{"title":"Request a proposal","body":"Defined scope, timeline and commercial terms.","href":"/contact/proposal","emphasis":"neutral"},{"title":"Partnership enquiry","body":"For CROs, consultancies and local agents.","href":"/contact/partnership","emphasis":"neutral"},{"title":"Submit your CV","body":"Looking to join us? Send your CV and see the roles we are hiring for.","href":"/careers","linkLabel":"View openings","emphasis":"neutral"},{"title":"Pharmacovigilance & safety","body":"Report an adverse event or product safety concern. Handled separately from commercial enquiries.","href":"/contact/safety","linkLabel":"Safety reporting","emphasis":"safety"}],"generalLabel":"General enquiries","generalEmail":"cs@genedrift.com"}	false	true
SEC-company-1	/company	10	page-head	{"eyebrow":"Company","heading":"A long-term regulatory partner,","headingTail":"not a service provider you re-brief every quarter.","actions":[{"label":"Speak to an Expert","href":"/contact/enquiry","variant":"solid"},{"label":"Our operating model","href":"/company/operating-model","variant":"quiet"}]}	false	true
SEC-company-2	/company	20	sub-capability-grid	{"eyebrow":"In this section","heading":"Everything under Company.","standfirst":"Each area is owned by the team that delivers it.","navSource":"company","items":[]}	false	true
SEC-company-3	/company	30	value-grid	{"eyebrow":"Why Genedrift","heading":"More than a service provider. A long-term regulatory partner.","items":[{"title":"Fully in-house delivery","body":"No subcontractors. The team that files your dossier maintains it."},{"title":"Genuine local expertise","body":"In-country specialists who know the authority, not a remote desk."},{"title":"Regional project management","body":"One commercial partner and one project manager across every market."},{"title":"Quality-driven execution","body":"ISO-certified management systems and inspection-ready documentation."}]}	false	true
SEC-company-4	/company	40	process-grid	{"eyebrow":"Operating model","heading":"Twelve stages, filing to withdrawal.","standfirst":"The same team carries a product from the first strategy call through every renewal that follows.","stages":[{"title":"Regulatory strategy","body":"Target markets, pathway and sequencing agreed before anything is written."},{"title":"Regulatory intelligence","body":"Current country requirements, mapped and kept current."},{"title":"Classification & gap analysis","body":"What you have, against what each authority expects."},{"title":"Dossier preparation","body":"Compiled to the receiving authority's format, not a generic template."},{"title":"eCTD publishing","body":"Validated output, lifecycle-ready sequences."},{"title":"Submission management","body":"Filed locally, tracked centrally, reported to you."},{"title":"Authority interaction","body":"Queries answered by the people who wrote the dossier."},{"title":"Approval","body":"The licence issued, with every commitment logged for what follows."},{"title":"Lifecycle management","body":"Variations, renewals, transfers, notifications, withdrawals."},{"title":"MAH / local representation","body":"Licence held locally where you have no entity."},{"title":"Pharmacovigilance","body":"Local QPPV, case processing, aggregate reports, inspections."},{"title":"Dedicated resource","body":"Named FTE and embedded teams as the portfolio grows."}]}	false	true
SEC-company-5	/company	50	metric-row	{"eyebrow":"By the numbers","heading":"What the last few years look like.","items":[{"value":"46","label":"Markets","note":"Across six regions"},{"value":"170+","label":"Products","note":"Lifecycle managed for one client"},{"value":"50+","label":"Intelligence reports","note":"Delivered to multinationals"},{"value":"10+","label":"Saudi roadmaps","note":"For Gulf market entry"}]}	false	true
SEC-company-6	/company	60	faq-accordion	{"eyebrow":"Common questions","heading":"What people ask before they engage.","items":[{"question":"Do we need a local entity to register a product?","answer":"Placeholder answer — the client's regulatory team must supply and approve this. In most markets a local presence of some form is required, but the specific mechanism varies by country and product type."},{"question":"Can you hold the marketing authorisation on our behalf?","answer":"Placeholder answer. MAH and local representation is one of the three core capabilities; availability differs per market and is shown on each country page."},{"question":"How is pharmacovigilance handled across multiple markets?","answer":"Placeholder answer covering local QPPV cover, case intake, aggregate reporting and inspection readiness."},{"question":"What happens after approval?","answer":"Placeholder answer covering variations, renewals, transfers and withdrawals — stages nine through twelve of the operating model."}]}	false	true
